Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
Monster Beverage,51.297B,36.76,9.93,4.19,true,false,true,true
Moody's Corp,61.16B,30.49,30.13,2.18,false,true,true,true
Morgan Stanley,154.286B,10.80,1.61,N/A,false,false,true,false
Motorola Solutions Inc.,31.89B,34.55,N/A,1.24,false,false,true,false
MSCI Inc,40.038B,62.70,N/A,1.62,false,N/A,true,true
Nasdaq Inc.,26.51B,26.27,4.20,1.02,false,false,true,true
Nasdaq Inc.,26.51B,26.27,4.20,1.02,false,false,true,true
NetApp,16.626B,28.30,34.80,1.68,N/A,false,true,true
Netflix Inc.,227.674B,62.14,17.67,1.27,false,N/A,true,true
Newell Brands,11.467B,19.17,2.99,1.30,false,true,false,false
Newmont Corporation,50.001B,19.58,2.16,2.40,false,false,false,false
News Corp (Class A),15.098B,N/A,1.90,1.26,false,N/A,false,false
News Corp (Class B),15.098B,N/A,1.77,1.26,false,false,false,false
NextEra Energy,152.032B,36.73,4.07,0.52,false,false,true,true
Nielsen Holdings,9.195B,N/A,4.47,1.16,false,false,false,false
Nike Inc.,209.536B,62.00,17.56,2.78,true,false,true,true
NiSource Inc.,10.203B,N/A,2.09,0.73,N/A,false,false,false
Norfolk Southern Corp.,69.877B,30.92,4.77,1.02,false,false,true,true
Northern Trust Corp.,23.686B,20.29,2.24,N/A,true,false,true,true
Northrop Grumman,57.051B,13.05,5.42,1.46,N/A,false,true,true
NortonLifeLock,12.575B,N/A,N/A,1.01,N/A,false,true,false
Norwegian Cruise Line Holdings,11.436B,N/A,2.25,1.86,false,N/A,false,false
NOV Inc.,5.84B,N/A,1.15,2.58,true,false,false,false
NRG Energy,8.765B,17.30,5.21,3.15,false,false,true,false
Nucor Corp.,24.616B,15.26,2.15,3.50,N/A,false,true,true
Nvidia Corporation,373.667B,87.01,22.03,4.09,true,false,true,true
NVR Inc.,18.264B,20.21,6.00,5.73,false,N/A,true,true
O'Reilly Automotive,38.651B,20.75,N/A,0.79,false,N/A,true,true
Occidental Petroleum,23.673B,N/A,2.68,1.07,false,true,false,false
Old Dominion Freight Line,29.897B,41.09,9.41,2.38,true,N/A,true,true
Omnicom Group,17.693B,18.24,5.51,1.02,false,false,true,true
Oneok,23.319B,20.23,3.82,0.98,false,false,true,true
Oracle Corp.,218.543B,18.14,24.66,2.16,N/A,false,true,true
Otis Worldwide,33.417B,N/A,N/A,0.99,N/A,N/A,true,true
Paccar,31.206B,22.13,2.91,1.33,false,false,true,true
Packaging Corporation of America,14.026B,28.95,4.28,N/A,false,false,true,true
Parker-Hannifin,40.507B,26.63,5.48,1.66,false,true,true,true
Paychex Inc.,35.131B,33.39,11.80,1.24,N/A,false,true,true
Paycom,23.136B,156.26,33.85,1.09,true,N/A,true,false
PayPal,307.997B,74.09,15.36,1.33,true,N/A,true,true
Pentair plc,10.722B,26.05,4.89,1.47,false,true,true,false
People's United Financial,7.745B,35.07,1.04,N/A,true,true,true,true
PepsiCo Inc.,199.176B,26.69,14.28,0.93,false,false,true,true
PerkinElmer,14.527B,19.95,3.89,1.36,false,N/A,true,true
Perrigo,5.56B,N/A,0.98,2.27,false,false,false,false
Pfizer Inc.,215.596B,22.64,3.40,1.35,false,false,true,true
Philip Morris International,148.061B,17.15,N/A,1.18,false,false,false,true
Phillips 66,35.428B,N/A,1.86,N/A,false,false,false,false
Pinnacle West Capital,9.544B,17.38,1.69,0.88,N/A,false,true,true
Pioneer Natural Resources,33.344B,N/A,2.19,1.36,false,N/A,false,false
PNC Financial Services,79.454B,9.77,1.48,N/A,true,true,true,true
Pool Corporation,16.967B,39.70,25.83,1.80,true,false,true,true
PPG Industries,40.599B,34.15,6.95,1.43,false,true,true,true
PPL Corp.,22.413B,15.25,1.67,0.46,false,true,false,true
Principal Financial Group,17.373B,10.86,1.13,2.11,false,false,true,true
Procter & Gamble,326.643B,24.53,7.14,0.71,false,false,false,true
Progressive Corp.,58.948B,9.16,3.30,0.43,false,N/A,true,true
Prologis,86.206B,64.20,2.70,1.48,N/A,false,true,false
Prudential Financial,39.684B,N/A,0.59,0.63,false,false,true,false
Public Service Enterprise Group (PSEG),31.902B,16.80,1.99,0.66,false,true,false,true
Public Storage,49.197B,41.91,10.22,0.50,N/A,false,true,true
PulteGroup,15.547B,10.61,2.33,5.43,false,N/A,true,false
PVH Corp.,8.055B,N/A,1.70,1.53,N/A,N/A,false,false
Qorvo,21.313B,45.27,4.73,3.78,false,N/A,false,false
Qualcomm,156.566B,19.88,21.11,2.02,false,false,false,false
Quanta Services Inc.,13.481B,31.48,3.08,1.68,true,false,true,true
Quest Diagnostics,17.229B,10.01,2.56,1.76,false,false,true,true
Ralph Lauren Corporation,9.746B,N/A,3.62,2.55,N/A,false,false,false
Raymond James Financial,18.01B,17.47,2.44,N/A,false,false,true,true
Raytheon Technologies,126.116B,N/A,N/A,1.17,false,true,false,false
Realty Income Corporation,25.828B,60.66,2.27,4.15,false,false,false,true
